2,DeliveryDate,Version,inputFolder,inputFilename,xyPixelSize,zPixelSize,memChannel,nucChannel,structureChannel,structureProteinName,lightChannel,timePoint,outputSegmentationPath,outputNucSegWholeFilename,outputCellSegWholeFilename,structureSegOutputFolder,structureSegOutputFilename
1,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\20160708,20160708_C01_001.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\nuc_cell_segmentation,20160708_C01_001.czi_nucWholeIndex.tiff,20160708_C01_001.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\structure_segmentation,20160708_C01_001.czi_structSegmentation.tiff
2,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\20160708,20160708_C01_002.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\nuc_cell_segmentation,20160708_C01_002.czi_nucWholeIndex.tiff,20160708_C01_002.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\structure_segmentation,20160708_C01_002.czi_structSegmentation.tiff
3,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\20160708,20160708_C01_005.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\nuc_cell_segmentation,20160708_C01_005.czi_nucWholeIndex.tiff,20160708_C01_005.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\structure_segmentation,20160708_C01_005.czi_structSegmentation.tiff
4,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\20160708,20160708_C01_006.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\nuc_cell_segmentation,20160708_C01_006.czi_nucWholeIndex.tiff,20160708_C01_006.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\structure_segmentation,20160708_C01_006.czi_structSegmentation.tiff
5,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\20160708,20160708_C01_007.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\nuc_cell_segmentation,20160708_C01_007.czi_nucWholeIndex.tiff,20160708_C01_007.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\structure_segmentation,20160708_C01_007.czi_structSegmentation.tiff
6,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\20160708,20160708_C01_008.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\nuc_cell_segmentation,20160708_C01_008.czi_nucWholeIndex.tiff,20160708_C01_008.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\structure_segmentation,20160708_C01_008.czi_structSegmentation.tiff
7,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\20160708,20160708_C01_009.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\nuc_cell_segmentation,20160708_C01_009.czi_nucWholeIndex.tiff,20160708_C01_009.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\structure_segmentation,20160708_C01_009.czi_structSegmentation.tiff
8,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\20160708,20160708_C01_010.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\nuc_cell_segmentation,20160708_C01_010.czi_nucWholeIndex.tiff,20160708_C01_010.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\structure_segmentation,20160708_C01_010.czi_structSegmentation.tiff
9,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\20160708,20160708_C01_011.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\nuc_cell_segmentation,20160708_C01_011.czi_nucWholeIndex.tiff,20160708_C01_011.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\structure_segmentation,20160708_C01_011.czi_structSegmentation.tiff
10,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\20160708,20160708_C01_013.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\nuc_cell_segmentation,20160708_C01_013.czi_nucWholeIndex.tiff,20160708_C01_013.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\structure_segmentation,20160708_C01_013.czi_structSegmentation.tiff
11,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\20160708,20160708_C01_014.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\nuc_cell_segmentation,20160708_C01_014.czi_nucWholeIndex.tiff,20160708_C01_014.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\structure_segmentation,20160708_C01_014.czi_structSegmentation.tiff
12,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\20160708,20160708_C01_015.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\nuc_cell_segmentation,20160708_C01_015.czi_nucWholeIndex.tiff,20160708_C01_015.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\structure_segmentation,20160708_C01_015.czi_structSegmentation.tiff
13,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\20160708,20160708_C01_016.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\nuc_cell_segmentation,20160708_C01_016.czi_nucWholeIndex.tiff,20160708_C01_016.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\structure_segmentation,20160708_C01_016.czi_structSegmentation.tiff
14,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\20160708,20160708_C01_017.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\nuc_cell_segmentation,20160708_C01_017.czi_nucWholeIndex.tiff,20160708_C01_017.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\structure_segmentation,20160708_C01_017.czi_structSegmentation.tiff
15,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\20160708,20160708_C01_018.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\nuc_cell_segmentation,20160708_C01_018.czi_nucWholeIndex.tiff,20160708_C01_018.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\structure_segmentation,20160708_C01_018.czi_structSegmentation.tiff
16,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\20160708,20160708_C01_019.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\nuc_cell_segmentation,20160708_C01_019.czi_nucWholeIndex.tiff,20160708_C01_019.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\structure_segmentation,20160708_C01_019.czi_structSegmentation.tiff
17,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\20160708,20160708_C01_020.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\nuc_cell_segmentation,20160708_C01_020.czi_nucWholeIndex.tiff,20160708_C01_020.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\structure_segmentation,20160708_C01_020.czi_structSegmentation.tiff
18,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\20160708,20160708_C01_021.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\nuc_cell_segmentation,20160708_C01_021.czi_nucWholeIndex.tiff,20160708_C01_021.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\structure_segmentation,20160708_C01_021.czi_structSegmentation.tiff
19,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\20160708,20160708_C01_022.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\nuc_cell_segmentation,20160708_C01_022.czi_nucWholeIndex.tiff,20160708_C01_022.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\structure_segmentation,20160708_C01_022.czi_structSegmentation.tiff
20,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\20160708,20160708_C01_023.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\nuc_cell_segmentation,20160708_C01_023.czi_nucWholeIndex.tiff,20160708_C01_023.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\structure_segmentation,20160708_C01_023.czi_structSegmentation.tiff
21,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\20160708,20160708_C01_024.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\nuc_cell_segmentation,20160708_C01_024.czi_nucWholeIndex.tiff,20160708_C01_024.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\structure_segmentation,20160708_C01_024.czi_structSegmentation.tiff
22,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\20160708,20160708_C01_025.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\nuc_cell_segmentation,20160708_C01_025.czi_nucWholeIndex.tiff,20160708_C01_025.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\structure_segmentation,20160708_C01_025.czi_structSegmentation.tiff
