DeliveryDate,Version,inputFolder,inputFilename,imageXyPixelSize,imageZPixelSize,memChannel,nucChannel,structureChannel,structureProteinName,lightChannel,timePoint,outputSegmentationPath,outputNucSegWholeFilename,outputCellSegWholeFilename,SegmentationXyPixelSize,SegmentationZPixelSize,outputNucSegWholeSegScaleFilename,outputCellSegWholeSegScaleFilename,structureSegOutputFolder,structureSegOutputFilename
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160719,20160719_S01_001.czi,0.065,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\nuc_cell_segmentation,20160719_S01_001.czi_nucWholeIndex.tiff,20160719_S01_001.czi_cellWholeIndex.tiff,0.065,0.29,20160719_S01_001.czi_nucWholeIndex.tiff,20160719_S01_001.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\structure_segmentation,20160719_S01_001.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160719,20160719_S01_002.czi,0.065,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\nuc_cell_segmentation,20160719_S01_002.czi_nucWholeIndex.tiff,20160719_S01_002.czi_cellWholeIndex.tiff,0.065,0.29,20160719_S01_002.czi_nucWholeIndex.tiff,20160719_S01_002.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\structure_segmentation,20160719_S01_002.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160719,20160719_S01_003.czi,0.065,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\nuc_cell_segmentation,20160719_S01_003.czi_nucWholeIndex.tiff,20160719_S01_003.czi_cellWholeIndex.tiff,0.065,0.29,20160719_S01_003.czi_nucWholeIndex.tiff,20160719_S01_003.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\structure_segmentation,20160719_S01_003.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160719,20160719_S01_004.czi,0.065,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\nuc_cell_segmentation,20160719_S01_004.czi_nucWholeIndex.tiff,20160719_S01_004.czi_cellWholeIndex.tiff,0.065,0.29,20160719_S01_004.czi_nucWholeIndex.tiff,20160719_S01_004.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\structure_segmentation,20160719_S01_004.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160719,20160719_S01_005.czi,0.065,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\nuc_cell_segmentation,20160719_S01_005.czi_nucWholeIndex.tiff,20160719_S01_005.czi_cellWholeIndex.tiff,0.065,0.29,20160719_S01_005.czi_nucWholeIndex.tiff,20160719_S01_005.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\structure_segmentation,20160719_S01_005.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160719,20160719_S01_006.czi,0.065,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\nuc_cell_segmentation,20160719_S01_006.czi_nucWholeIndex.tiff,20160719_S01_006.czi_cellWholeIndex.tiff,0.065,0.29,20160719_S01_006.czi_nucWholeIndex.tiff,20160719_S01_006.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\structure_segmentation,20160719_S01_006.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160719,20160719_S01_007.czi,0.065,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\nuc_cell_segmentation,20160719_S01_007.czi_nucWholeIndex.tiff,20160719_S01_007.czi_cellWholeIndex.tiff,0.065,0.29,20160719_S01_007.czi_nucWholeIndex.tiff,20160719_S01_007.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\structure_segmentation,20160719_S01_007.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160719,20160719_S01_008.czi,0.065,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\nuc_cell_segmentation,20160719_S01_008.czi_nucWholeIndex.tiff,20160719_S01_008.czi_cellWholeIndex.tiff,0.065,0.29,20160719_S01_008.czi_nucWholeIndex.tiff,20160719_S01_008.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\structure_segmentation,20160719_S01_008.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160719,20160719_S01_009.czi,0.065,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\nuc_cell_segmentation,20160719_S01_009.czi_nucWholeIndex.tiff,20160719_S01_009.czi_cellWholeIndex.tiff,0.065,0.29,20160719_S01_009.czi_nucWholeIndex.tiff,20160719_S01_009.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\structure_segmentation,20160719_S01_009.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160719,20160719_S01_010.czi,0.065,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\nuc_cell_segmentation,20160719_S01_010.czi_nucWholeIndex.tiff,20160719_S01_010.czi_cellWholeIndex.tiff,0.065,0.29,20160719_S01_010.czi_nucWholeIndex.tiff,20160719_S01_010.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\structure_segmentation,20160719_S01_010.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160719,20160719_S01_011.czi,0.065,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\nuc_cell_segmentation,20160719_S01_011.czi_nucWholeIndex.tiff,20160719_S01_011.czi_cellWholeIndex.tiff,0.065,0.29,20160719_S01_011.czi_nucWholeIndex.tiff,20160719_S01_011.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\structure_segmentation,20160719_S01_011.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160719,20160719_S01_012.czi,0.065,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\nuc_cell_segmentation,20160719_S01_012.czi_nucWholeIndex.tiff,20160719_S01_012.czi_cellWholeIndex.tiff,0.065,0.29,20160719_S01_012.czi_nucWholeIndex.tiff,20160719_S01_012.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\structure_segmentation,20160719_S01_012.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160719,20160719_S01_013.czi,0.065,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\nuc_cell_segmentation,20160719_S01_013.czi_nucWholeIndex.tiff,20160719_S01_013.czi_cellWholeIndex.tiff,0.065,0.29,20160719_S01_013.czi_nucWholeIndex.tiff,20160719_S01_013.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\structure_segmentation,20160719_S01_013.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160719,20160719_S01_015.czi,0.065,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\nuc_cell_segmentation,20160719_S01_015.czi_nucWholeIndex.tiff,20160719_S01_015.czi_cellWholeIndex.tiff,0.065,0.29,20160719_S01_015.czi_nucWholeIndex.tiff,20160719_S01_015.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\structure_segmentation,20160719_S01_015.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160719,20160719_S01_016.czi,0.065,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\nuc_cell_segmentation,20160719_S01_016.czi_nucWholeIndex.tiff,20160719_S01_016.czi_cellWholeIndex.tiff,0.065,0.29,20160719_S01_016.czi_nucWholeIndex.tiff,20160719_S01_016.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\structure_segmentation,20160719_S01_016.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160719,20160719_S01_017.czi,0.065,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\nuc_cell_segmentation,20160719_S01_017.czi_nucWholeIndex.tiff,20160719_S01_017.czi_cellWholeIndex.tiff,0.065,0.29,20160719_S01_017.czi_nucWholeIndex.tiff,20160719_S01_017.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\structure_segmentation,20160719_S01_017.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160719,20160719_S01_018.czi,0.065,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\nuc_cell_segmentation,20160719_S01_018.czi_nucWholeIndex.tiff,20160719_S01_018.czi_cellWholeIndex.tiff,0.065,0.29,20160719_S01_018.czi_nucWholeIndex.tiff,20160719_S01_018.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\structure_segmentation,20160719_S01_018.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160719,20160719_S01_019.czi,0.065,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\nuc_cell_segmentation,20160719_S01_019.czi_nucWholeIndex.tiff,20160719_S01_019.czi_cellWholeIndex.tiff,0.065,0.29,20160719_S01_019.czi_nucWholeIndex.tiff,20160719_S01_019.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\structure_segmentation,20160719_S01_019.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160719,20160719_S01_020.czi,0.065,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\nuc_cell_segmentation,20160719_S01_020.czi_nucWholeIndex.tiff,20160719_S01_020.czi_cellWholeIndex.tiff,0.065,0.29,20160719_S01_020.czi_nucWholeIndex.tiff,20160719_S01_020.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\structure_segmentation,20160719_S01_020.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160719,20160719_S01_021.czi,0.065,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\nuc_cell_segmentation,20160719_S01_021.czi_nucWholeIndex.tiff,20160719_S01_021.czi_cellWholeIndex.tiff,0.065,0.29,20160719_S01_021.czi_nucWholeIndex.tiff,20160719_S01_021.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\structure_segmentation,20160719_S01_021.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160719,20160719_S01_022.czi,0.065,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\nuc_cell_segmentation,20160719_S01_022.czi_nucWholeIndex.tiff,20160719_S01_022.czi_cellWholeIndex.tiff,0.065,0.29,20160719_S01_022.czi_nucWholeIndex.tiff,20160719_S01_022.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\structure_segmentation,20160719_S01_022.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160719,20160719_S01_023.czi,0.065,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\nuc_cell_segmentation,20160719_S01_023.czi_nucWholeIndex.tiff,20160719_S01_023.czi_cellWholeIndex.tiff,0.065,0.29,20160719_S01_023.czi_nucWholeIndex.tiff,20160719_S01_023.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\structure_segmentation,20160719_S01_023.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160719,20160719_S01_024.czi,0.065,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\nuc_cell_segmentation,20160719_S01_024.czi_nucWholeIndex.tiff,20160719_S01_024.czi_cellWholeIndex.tiff,0.065,0.29,20160719_S01_024.czi_nucWholeIndex.tiff,20160719_S01_024.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\structure_segmentation,20160719_S01_024.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160719,20160719_S01_025.czi,0.065,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\nuc_cell_segmentation,20160719_S01_025.czi_nucWholeIndex.tiff,20160719_S01_025.czi_cellWholeIndex.tiff,0.065,0.29,20160719_S01_025.czi_nucWholeIndex.tiff,20160719_S01_025.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160719_S01\structure_segmentation,20160719_S01_025.czi_structSegmentation.tiff
